Doc Date,Customer,Sales,Product,Amount,Unit Price
1/1/2025,Jiamei-Yangjiang,Linda,Door Bolt,600,27.18
1/1/2025,Hanxin-Hangzhou,Linda,Door stopper,1200,14.36
1/1/2025,Keli-Hainan,Wangxia,Door Bolt,360,26.92
1/1/2025,Weijia-Shanghai,Linda,Door stopper,600,14.44
1/1/2025,Haijiang-Ningbo,Yeqing,Sign plate ,600,6.75
1/1/2025, Ruihe-Nanjing Ruihe-Nanjing,Linda,Door stopper,5600,13.68
1/2/2025,Xindi-ZhenjiangXindi-Zhenjiang,Yeqing,Sign plate ,360,6.67
1/2/2025, Dashun-Shenzhen Dashun-Shenzhen,Wangxia,Sign plate ,1280,5.64
1/2/2025,Jinbai-Wenzhou,Yeqing,Door Bolt,110,26.67
1/2/2025,Boyu-Qingdao,Yeqing,Door knocker,760,37.5
1/2/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/2/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/5/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/5/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/5/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/5/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/6/2025,,,Door knocker,,12
1/5/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
1/5/2025,Jinbai-Wenzhou,Wangxia,Door stopper,800,13.68
1/5/2025,Boyu-Qingdao,Wangxia,Door Bolt,500,27.78
1/6/2025, Dashun-Shenzhen,Yeqing,Door stopper,1500,13.25
1/6/2025,Hanxin-Hangzhou,Linda,Door Bolt,3800,26.07
1/6/2025,Keli-Hainan,Wangxia,Door knocker,2200,35.7
1/6/2025,Jiamei-Yangjiang,Linda,Door stopper,1000,13.5
1/6/2025,Weijia-Shanghai,Linda,Door Bolt,3600,26.5
1/6/2025, Ruihe-Nanjing,Wangxia,Door Bolt,16800,23.93
1/7/2025,Jiamei-Yangjiang,Linda,Sign plate ,1150,5.73
1/7/2025,Hanxin-Hangzhou,Linda,Door knocker,1000,36
1/7/2025,Keli-Hainan,Linda,Sign plate ,1000,5.9
1/7/2025,Weijia-Shanghai,Linda,Door Bolt,1200,25.21
1/7/2025,Haijiang-Ningbo,Wangxia,Door Bolt,500,28.21
1/8/2025, Ruihe-Nanjing,Linda,Door knocker,3520,36.7
1/8/2025,Xindi-Zhenjiang,Yeqing,Door Bolt,780,27.35
